library_id,polynomial_degree,include_sin_cos,stlsq_threshold,system_id,source_initial_condition_set,dimension,phasec_representability_threeway,n_target_regressions,n_evaluation_integrations,fit_elapsed_s_context,elapsed_s_evidence_role
poly_deg2_stlsq_0.01,2,False,0.01,37,1,2,surrogate:eq2_not_representable,2,2,0.006875100001707324,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,37,2,2,surrogate:eq2_not_representable,2,2,0.013507599998774822,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,38,1,2,exact,2,2,0.016512299998794333,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,38,2,2,exact,2,2,0.012202700001580524,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,39,1,2,surrogate:eq1_not_representable,2,2,0.027170299999852432,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,39,2,2,surrogate:eq1_not_representable,2,2,0.0391672000005201,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,40,1,2,surrogate:eq2_not_representable,2,2,0.027836799999931827,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,40,2,2,surrogate:eq2_not_representable,2,2,0.02381029999924067,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,41,1,2,surrogate:eq1_not_representable,2,2,0.03387950000069395,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,41,2,2,surrogate:eq1_not_representable,2,2,0.02546020000045246,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,42,1,2,surrogate:eq1_not_representable,2,2,0.017409000000043306,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,42,2,2,surrogate:eq1_not_representable,2,2,0.02068400000098336,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,43,1,2,exact,2,2,0.010076499998831423,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,43,2,2,exact,2,2,0.03393979999964358,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,44,1,2,surrogate:eq2_not_representable,2,2,0.04554610000013781,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,44,2,2,surrogate:eq2_not_representable,2,2,0.024169500000425614,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,45,1,2,surrogate:eq1_not_representable,2,2,0.008600299999670824,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,45,2,2,surrogate:eq1_not_representable,2,2,0.008387099998799386,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,46,1,2,surrogate:eq1_not_representable,2,2,0.007352200000241282,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,46,2,2,surrogate:eq1_not_representable,2,2,0.009127600000283564,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,47,1,2,surrogate:eq1_not_representable,2,2,0.007234700000481098,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,47,2,2,surrogate:eq1_not_representable,2,2,0.00881439999830036,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,48,1,2,surrogate:eq1_not_representable,2,2,0.007901400000264402,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,48,2,2,surrogate:eq1_not_representable,2,2,0.014566500000000815,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,49,1,2,surrogate:eq1_not_representable,2,2,0.014548099999956321,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,49,2,2,surrogate:eq1_not_representable,2,2,0.006807499999922584,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,50,1,2,surrogate:eq1_not_representable,2,2,0.007187500001236913,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,50,2,2,surrogate:eq1_not_representable,2,2,0.00601230000029318,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,51,1,2,surrogate:eq1_not_representable,2,2,0.005775800000265008,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,51,2,2,surrogate:eq1_not_representable,2,2,0.009967399999368354,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,52,1,3,exact,3,2,0.012010999998892657,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,52,2,3,exact,3,2,0.010397500000181026,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,53,1,3,surrogate:eq1_not_representable,3,2,0.010092700000313926,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,53,2,3,surrogate:eq1_not_representable,3,2,0.009530600000289269,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,54,1,3,exact,3,2,0.01571680000051856,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,54,2,3,exact,3,2,0.009880599998723483,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,55,1,3,exact,3,2,0.009487900000749505,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,55,2,3,exact,3,2,0.010339700000258745,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,56,1,3,exact,3,2,0.015551599999525934,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,56,2,3,exact,3,2,0.011308299999654992,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,57,1,3,exact,3,2,0.010854100000869948,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,57,2,3,exact,3,2,0.010822600001120009,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,58,1,3,exact,3,2,0.00995159999911266,context_not_evidence
