library_id,polynomial_degree,include_sin_cos,stlsq_threshold,direction,regime,dimension,phasec_representability_threeway,aggregation_scope,n_cells,structure_hit_raw_count,structure_hit_raw_rate,structure_hit_pruned_count,structure_hit_pruned_rate,diverged_or_nonfinite_count,r2_valid_count,r2_gt_0_9_count,r2_gt_0_9_rate_over_cells,r2_median_valid
poly_deg3_sin_cos_stlsq_0.01,3,True,0.01,IC1_to_IC2,reconstruction,1,surrogate:eq1_not_representable,dimension_by_phasec_representability_threeway,12,0,0.0,0,0.0,0,12,12,1.0,0.9999687721029724
poly_deg3_sin_cos_stlsq_0.01,3,True,0.01,IC1_to_IC2,reconstruction,2,exact,dimension_by_phasec_representability_threeway,10,1,0.1,1,0.1,3,10,5,0.5,0.8346255892747562
poly_deg3_sin_cos_stlsq_0.01,3,True,0.01,IC1_to_IC2,reconstruction,2,surrogate:eq1_not_representable,dimension_by_phasec_representability_threeway,11,0,0.0,0,0.0,4,11,7,0.6363636363636364,0.9664246460492142
poly_deg3_sin_cos_stlsq_0.01,3,True,0.01,IC1_to_IC2,reconstruction,2,surrogate:eq2_not_representable,dimension_by_phasec_representability_threeway,6,2,0.3333333333333333,2,0.3333333333333333,0,6,5,0.8333333333333334,0.9971320489679603
poly_deg3_sin_cos_stlsq_0.01,3,True,0.01,IC1_to_IC2,reconstruction,3,exact,dimension_by_phasec_representability_threeway,7,0,0.0,0,0.0,1,7,0,0.0,-2.917508922773058
poly_deg3_sin_cos_stlsq_0.01,3,True,0.01,IC1_to_IC2,reconstruction,3,surrogate:eq1_not_representable,dimension_by_phasec_representability_threeway,1,0,0.0,0,0.0,0,1,1,1.0,0.9999768941412284
poly_deg3_sin_cos_stlsq_0.01,3,True,0.01,IC1_to_IC2,reconstruction,4,exact,dimension_by_phasec_representability_threeway,1,0,0.0,0,0.0,1,1,0,0.0,-4.564107766828905e+26
poly_deg3_sin_cos_stlsq_0.01,3,True,0.01,IC1_to_IC2,reconstruction,4,surrogate:eq1_not_representable,dimension_by_phasec_representability_threeway,1,0,0.0,0,0.0,1,1,0,0.0,-4.6621635541653395e+17
poly_deg3_sin_cos_stlsq_0.01,3,True,0.01,IC2_to_IC1,generalization,1,exact,dimension_by_phasec_representability_threeway,11,4,0.36363636363636365,4,0.36363636363636365,2,11,7,0.6363636363636364,0.9867232128895017
poly_deg3_sin_cos_stlsq_0.01,3,True,0.01,IC2_to_IC1,generalization,1,surrogate:eq1_not_representable,dimension_by_phasec_representability_threeway,12,0,0.0,0,0.0,0,12,5,0.4166666666666667,0.8664169490877833
poly_deg3_sin_cos_stlsq_0.01,3,True,0.01,IC2_to_IC1,generalization,2,exact,dimension_by_phasec_representability_threeway,9,1,0.1111111111111111,1,0.1111111111111111,2,9,3,0.3333333333333333,0.5952225765753812
poly_deg3_sin_cos_stlsq_0.01,3,True,0.01,IC2_to_IC1,generalization,2,surrogate:eq1_not_representable,dimension_by_phasec_representability_threeway,12,1,0.08333333333333333,1,0.08333333333333333,7,12,2,0.16666666666666666,-1.8391328029602236e+21
poly_deg3_sin_cos_stlsq_0.01,3,True,0.01,IC2_to_IC1,generalization,2,surrogate:eq2_not_representable,dimension_by_phasec_representability_threeway,6,2,0.3333333333333333,2,0.3333333333333333,0,6,4,0.6666666666666666,0.9971476405069255
