library_id,polynomial_degree,include_sin_cos,stlsq_threshold,system_id,source_initial_condition_set,dimension,phasec_representability_threeway,n_target_regressions,n_evaluation_integrations,fit_elapsed_s_context,elapsed_s_evidence_role
poly_deg2_stlsq_0.01,2,False,0.01,42,1,2,surrogate:eq1_not_representable,2,2,0.009068999999726657,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,42,2,2,surrogate:eq1_not_representable,2,2,0.009793500001251232,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,43,1,2,exact,2,2,0.015412200002174359,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,43,2,2,exact,2,2,0.01157460000104038,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,44,1,2,surrogate:eq2_not_representable,2,2,0.007088500002282672,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,44,2,2,surrogate:eq2_not_representable,2,2,0.01150220000272384,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,45,1,2,surrogate:eq1_not_representable,2,2,0.007337100003496744,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,45,2,2,surrogate:eq1_not_representable,2,2,0.00745180000376422,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,46,1,2,surrogate:eq1_not_representable,2,2,0.00740800000494346,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,46,2,2,surrogate:eq1_not_representable,2,2,0.012095599995518569,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,47,1,2,surrogate:eq1_not_representable,2,2,0.008043000001634937,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,47,2,2,surrogate:eq1_not_representable,2,2,0.007306699997570831,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,48,1,2,surrogate:eq1_not_representable,2,2,0.007801899999321904,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,48,2,2,surrogate:eq1_not_representable,2,2,0.005731400000513531,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,49,1,2,surrogate:eq1_not_representable,2,2,0.005711099998734426,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,49,2,2,surrogate:eq1_not_representable,2,2,0.00576569999975618,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,50,1,2,surrogate:eq1_not_representable,2,2,0.005574700000579469,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,50,2,2,surrogate:eq1_not_representable,2,2,0.005867299994861241,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,51,1,2,surrogate:eq1_not_representable,2,2,0.0066174999956274405,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,51,2,2,surrogate:eq1_not_representable,2,2,0.005573900001763832,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,52,1,3,exact,3,2,0.011253999997279607,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,52,2,3,exact,3,2,0.010767100000521168,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,53,1,3,surrogate:eq1_not_representable,3,2,0.01284779999696184,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,53,2,3,surrogate:eq1_not_representable,3,2,0.009809299997868948,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,54,1,3,exact,3,2,0.016899499998544343,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,54,2,3,exact,3,2,0.010462800004461315,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,55,1,3,exact,3,2,0.010890899997320957,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,55,2,3,exact,3,2,0.012101599997549783,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,56,1,3,exact,3,2,0.01280140000017127,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,56,2,3,exact,3,2,0.011264300002949312,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,57,1,3,exact,3,2,0.010970800001814496,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,57,2,3,exact,3,2,0.01166419999935897,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,58,1,3,exact,3,2,0.015908999994280748,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,58,2,3,exact,3,2,0.011969799998041708,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,59,1,3,exact,3,2,0.014962600005674176,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,59,2,3,exact,3,2,0.020123100002820138,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,60,1,3,surrogate:eq3_not_representable,3,2,0.010282499999448191,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,60,2,3,surrogate:eq3_not_representable,3,2,0.01524760000029346,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,61,1,3,exact,3,2,0.012688599999819417,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,61,2,3,exact,3,2,0.011617199997999705,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,62,1,4,surrogate:eq1_not_representable,4,2,0.011696400004439056,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,62,2,4,surrogate:eq1_not_representable,4,2,0.011349599997629412,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,63,1,4,exact,4,2,0.01680789999954868,context_not_evidence
poly_deg2_stlsq_0.01,2,False,0.01,63,2,4,exact,4,2,0.013141499999619555,context_not_evidence
poly_deg2_stlsq_0.1,2,False,0.1,1,1,1,exact,1,2,0.005960300004517194,context_not_evidence
poly_deg2_stlsq_0.1,2,False,0.1,1,2,1,exact,1,2,0.005244799998763483,context_not_evidence
poly_deg2_stlsq_0.1,2,False,0.1,2,1,1,exact,1,2,0.004917999998724554,context_not_evidence
poly_deg2_stlsq_0.1,2,False,0.1,2,2,1,exact,1,2,0.005006100000173319,context_not_evidence
poly_deg2_stlsq_0.1,2,False,0.1,3,1,1,exact,1,2,0.03941979999945033,context_not_evidence
poly_deg2_stlsq_0.1,2,False,0.1,3,2,1,exact,1,2,0.008699499994690996,context_not_evidence
poly_deg2_stlsq_0.1,2,False,0.1,4,1,1,surrogate:eq1_not_representable,1,2,0.011284199994406663,context_not_evidence
poly_deg2_stlsq_0.1,2,False,0.1,4,2,1,surrogate:eq1_not_representable,1,2,0.0047231999997165985,context_not_evidence
poly_deg2_stlsq_0.1,2,False,0.1,5,1,1,exact,1,2,0.011636299997917376,context_not_evidence
poly_deg2_stlsq_0.1,2,False,0.1,5,2,1,exact,1,2,0.008731300004001241,context_not_evidence
poly_deg2_stlsq_0.1,2,False,0.1,6,1,1,exact,1,2,0.012927900002978276,context_not_evidence
poly_deg2_stlsq_0.1,2,False,0.1,6,2,1,exact,1,2,0.005032900000514928,context_not_evidence
poly_deg2_stlsq_0.1,2,False,0.1,7,1,1,surrogate:eq1_not_representable,1,2,0.0077195999983814545,context_not_evidence
poly_deg2_stlsq_0.1,2,False,0.1,7,2,1,surrogate:eq1_not_representable,1,2,0.016218299999309238,context_not_evidence
poly_deg2_stlsq_0.1,2,False,0.1,8,1,1,exact,1,2,0.011086400001659058,context_not_evidence
poly_deg2_stlsq_0.1,2,False,0.1,8,2,1,exact,1,2,0.005308899999363348,context_not_evidence
poly_deg2_stlsq_0.1,2,False,0.1,9,1,1,exact,1,2,0.01260809999803314,context_not_evidence
poly_deg2_stlsq_0.1,2,False,0.1,9,2,1,exact,1,2,0.009484199996222742,context_not_evidence
