basis_name,system_id,dim,description,equation_index,n_true_terms,n_representable_true_terms,n_nonrepresentable_true_terms,representability_class,matched_basis_terms,unmatched_terms
staged_polynomial_basis_with_constant,41,2,Cell cycle model by Tyson for interaction between protein cdc2 and cyclin (dimensionless),2,2,2,0,fully_representable,u1,0.300000000000000 [constant_offset]
staged_polynomial_basis_with_constant,42,2,Reduced model for chlorine dioxide-iodine-malonic acid rection (dimensionless),1,3,2,1,partially_representable,u1,-4.0*u1*u2/(u1^2 + 1) [unsupported_power]|8.90000000000000 [constant_offset]
staged_polynomial_basis_with_constant,42,2,Reduced model for chlorine dioxide-iodine-malonic acid rection (dimensionless),2,2,1,1,partially_representable,u1,-1.4*u1*u2/(u1^2 + 1) [unsupported_power]
staged_polynomial_basis_with_constant,43,2,Driven pendulum with linear damping / Josephson junction (dimensionless),1,1,1,0,fully_representable,u2,
staged_polynomial_basis_with_constant,43,2,Driven pendulum with linear damping / Josephson junction (dimensionless),2,3,3,0,fully_representable,u2|sin(u1),1.67000000000000 [constant_offset]
staged_polynomial_basis_with_constant,44,2,Driven pendulum with quadratic damping (dimensionless),1,1,1,0,fully_representable,u2,
staged_polynomial_basis_with_constant,44,2,Driven pendulum with quadratic damping (dimensionless),2,3,2,1,partially_representable,sin(u1),-0.64*u2*Abs(u2) [unsupported_function]|1.67000000000000 [constant_offset]
staged_polynomial_basis_with_constant,45,2,Isothermal autocatalytic reaction model by Gray and Scott 1985 (dimensionless),1,3,2,1,partially_representable,u1,u1*u2^2 [mixed_higher_order_term]|0.500000000000000 [constant_offset]
staged_polynomial_basis_with_constant,45,2,Isothermal autocatalytic reaction model by Gray and Scott 1985 (dimensionless),2,2,1,1,partially_representable,u2,u1*u2^2 [mixed_higher_order_term]
staged_polynomial_basis_with_constant,46,2,Interacting bar magnets,1,2,1,1,partially_representable,sin(u1),0.33*sin(u1 - u2) [unsupported_trigonometric_argument]
staged_polynomial_basis_with_constant,46,2,Interacting bar magnets,2,2,1,1,partially_representable,sin(u2),-0.33*sin(u1 - u2) [unsupported_trigonometric_argument]
staged_polynomial_basis_with_constant,47,2,Binocular rivalry model (no oscillations),1,2,1,1,partially_representable,u1,1/(0.246596963941606*exp(4.89*u2) + 1) [unsupported_function]
