run_id,experiment_id,system_id,variant_slug,seed,initial_condition_set,equation_index,n_found_terms,n_true_terms,n_true_positive_terms,n_missing_true_terms,n_extra_found_terms,term_precision,term_recall,structural_f1,exact_support_match,missing_true_terms,extra_found_terms,coefficient_relative_error_mean,coefficient_relative_error_max,n_coefficient_terms
52_evogrow_v2_2_stage_capped_pretune_on_9_2_42,paper1_phaseB_v1,9,evogrow_v2_2_stage_capped_pretune_on,42,2,1,1,1,1,0,0,1.0,1.0,1.0,True,,,,,0
53_evogrow_v2_2_stage_capped_pretune_on_9_2_123,paper1_phaseB_v1,9,evogrow_v2_2_stage_capped_pretune_on,123,2,1,1,1,1,0,0,1.0,1.0,1.0,True,,,,,0
54_evogrow_v2_2_stage_capped_pretune_on_9_2_7,paper1_phaseB_v1,9,evogrow_v2_2_stage_capped_pretune_on,7,2,1,1,1,1,0,0,1.0,1.0,1.0,True,,,,,0
55_evogrow_v2_2_stage_capped_pretune_on_10_1_42,paper1_phaseB_v1,10,evogrow_v2_2_stage_capped_pretune_on,42,1,1,2,0,0,0,2,0.0,0.0,0.0,False,,u1|u1^2,,,0
56_evogrow_v2_2_stage_capped_pretune_on_10_1_123,paper1_phaseB_v1,10,evogrow_v2_2_stage_capped_pretune_on,123,1,1,2,0,0,0,2,0.0,0.0,0.0,False,,u1|u1^2,,,0
57_evogrow_v2_2_stage_capped_pretune_on_10_1_7,paper1_phaseB_v1,10,evogrow_v2_2_stage_capped_pretune_on,7,1,1,2,0,0,0,2,0.0,0.0,0.0,False,,u1|u1^2,,,0
58_evogrow_v2_2_stage_capped_pretune_on_10_2_42,paper1_phaseB_v1,10,evogrow_v2_2_stage_capped_pretune_on,42,2,1,1,0,0,0,1,0.0,0.0,0.0,False,,u1,,,0
59_evogrow_v2_2_stage_capped_pretune_on_10_2_123,paper1_phaseB_v1,10,evogrow_v2_2_stage_capped_pretune_on,123,2,1,1,0,0,0,1,0.0,0.0,0.0,False,,u1,,,0
60_evogrow_v2_2_stage_capped_pretune_on_10_2_7,paper1_phaseB_v1,10,evogrow_v2_2_stage_capped_pretune_on,7,2,1,1,0,0,0,1,0.0,0.0,0.0,False,,u1,,,0
61_evogrow_v2_2_stage_capped_pretune_on_11_1_42,paper1_phaseB_v1,11,evogrow_v2_2_stage_capped_pretune_on,42,1,1,3,1,1,0,2,0.3333333333333333,1.0,0.5,False,,u1|u1^2,,,0
62_evogrow_v2_2_stage_capped_pretune_on_11_1_123,paper1_phaseB_v1,11,evogrow_v2_2_stage_capped_pretune_on,123,1,1,3,1,1,0,2,0.3333333333333333,1.0,0.5,False,,u1|u1^2,,,0
63_evogrow_v2_2_stage_capped_pretune_on_11_1_7,paper1_phaseB_v1,11,evogrow_v2_2_stage_capped_pretune_on,7,1,1,3,1,1,0,2,0.3333333333333333,1.0,0.5,False,,u1|u1^2,,,0
64_evogrow_v2_2_stage_capped_pretune_on_11_2_42,paper1_phaseB_v1,11,evogrow_v2_2_stage_capped_pretune_on,42,2,1,2,1,0,1,2,0.0,0.0,0.0,False,u1^3,u1|u1^2,,,0
65_evogrow_v2_2_stage_capped_pretune_on_11_2_123,paper1_phaseB_v1,11,evogrow_v2_2_stage_capped_pretune_on,123,2,1,2,1,0,1,2,0.0,0.0,0.0,False,u1^3,u1|u1^2,,,0
66_evogrow_v2_2_stage_capped_pretune_on_11_2_7,paper1_phaseB_v1,11,evogrow_v2_2_stage_capped_pretune_on,7,2,1,2,1,0,1,2,0.0,0.0,0.0,False,u1^3,u1|u1^2,,,0
