system_id,system_name,system_dim,system_representability,initial_condition_set,condition,n_cells,exact_support_match_rate,r2_median,loss_q50,loss_q90,final_stage_q50,stage_caps,total_loss_evals_q50,total_ode_solves_q50,total_parameter_fits_q50,silent_levels_q50,silent_levels_sum,silent_fraction_q50,silent_fraction_q90,level_event_count_q50
4,RC-circuit with non-linear resistor (charging capacitor),1,surrogate,1,pretune_off,3,,0.9998781415371524,7.51112864308e-05,7.51112864671e-05,5,[5],1000876,1000876,410,6,18,0.3,0.34,20
4,RC-circuit with non-linear resistor (charging capacitor),1,surrogate,1,pretune_on,3,,0.9998781415342218,7.51112882371e-05,7.51112882371e-05,5,[5],1325664,1325664,410,7,21,0.35,0.35,20
4,RC-circuit with non-linear resistor (charging capacitor),1,surrogate,2,pretune_off,3,,0.99932432279343,0.000609092308258,0.000609092354508,5,[5],329613,329613,410,3,9,0.15,0.15,20
4,RC-circuit with non-linear resistor (charging capacitor),1,surrogate,2,pretune_on,3,,0.99932432285211,0.000609092255361,0.000609092255361,5,[5],263560,263560,410,3,9,0.15,0.15,20
5,Velocity of a falling object with air resistance,1,surrogate,1,pretune_off,3,,0.9802761586341768,6.29730904729,6.30988529764,5,[null],2794030,2794030,490,3,9,0.125,0.129347826087,24
5,Velocity of a falling object with air resistance,1,surrogate,1,pretune_on,3,,0.9786475002418552,6.81729727061,6.81729727061,5,[null],2462060,2462060,430,3,9,0.142857142857,0.142857142857,21
5,Velocity of a falling object with air resistance,1,surrogate,2,pretune_off,3,,0.9999941223017046,9.38672994406e-06,1.10889130477e-05,5,[5],2290576,2290576,410,9,33,0.45,0.69,20
5,Velocity of a falling object with air resistance,1,surrogate,2,pretune_on,3,,0.9999945197905024,8.75193723904e-06,8.75193723904e-06,5,[5],6446800,6446800,410,15,45,0.75,0.75,20
6,Autocatalysis with one fixed abundant chemical,1,exact,1,pretune_off,3,1.0,,2.2959971422e-14,2.39861171508e-14,2,[2],85184,85184,110,0,0,0,0,5
6,Autocatalysis with one fixed abundant chemical,1,exact,1,pretune_on,3,1.0,,2.83179309449e-14,2.83179309449e-14,2,[2],21890,21890,110,0,0,0,0,5
6,Autocatalysis with one fixed abundant chemical,1,exact,2,pretune_off,3,1.0,,5.09155216572e-14,6.77578219517e-14,2,[2],154567,154567,110,0,0,0,0,5
6,Autocatalysis with one fixed abundant chemical,1,exact,2,pretune_on,3,1.0,,2.10344886496e-13,2.10344886496e-13,2,[2],43680,43680,110,0,0,0,0,5
7,Gompertz law for tumor growth,1,surrogate,1,pretune_off,3,,0.9960170493416276,0.000454247717558,0.000454247717558,5,[5],105453,105453,410,16,50,0.8,0.88,20
7,Gompertz law for tumor growth,1,surrogate,1,pretune_on,3,,0.996017049341627,0.000454247717558,0.000454247717558,5,[5],35998,35998,410,19,57,0.95,0.95,20
7,Gompertz law for tumor growth,1,surrogate,2,pretune_off,3,,0.9999992052486848,2.75664437272e-05,3.10774814257e-05,5,[null],1264344,1264344,410,7,21,0.35,0.35,20
7,Gompertz law for tumor growth,1,surrogate,2,pretune_on,3,,0.9999993566555182,2.23148035329e-05,2.23148035329e-05,5,[null],3197288,3197288,410,7,21,0.35,0.35,20
8,Logistic equation with Allee effect,1,exact,1,pretune_off,3,1.0,,1.72988069013e-05,2.68882684888e-05,4,[4],1099241,1099241,330,3,7,0.1875,0.1875,16
8,Logistic equation with Allee effect,1,exact,1,pretune_on,3,0.0,,574.984676447,574.984676447,4,[4],1830,1830,330,15,45,0.9375,0.9375,16
8,Logistic equation with Allee effect,1,exact,2,pretune_off,3,0.0,,0.000947074647172,0.000947074647178,4,[4],257626,257626,330,12,38,0.75,0.85,16
8,Logistic equation with Allee effect,1,exact,2,pretune_on,3,0.0,,0.000947074647213,0.000947074647213,4,[4],391820,391820,330,15,45,0.9375,0.9375,16
9,Language death model for two languages,1,surrogate,1,pretune_off,3,,0.9785158044430906,0.000187104480145,0.000187104480145,5,[5],112093,112093,410,8,26,0.4,0.48,20
9,Language death model for two languages,1,surrogate,1,pretune_on,3,,0.978515804443052,0.000187104480146,0.000187104480146,5,[5],207690,207690,410,15,45,0.75,0.75,20
9,Language death model for two languages,1,surrogate,2,pretune_off,3,,-0.397249554734741,2.18481698518e-05,2.18481698518e-05,5,[null],889924,889924,410,19,57,0.95,0.95,20
9,Language death model for two languages,1,surrogate,2,pretune_on,3,,-0.3972495547347674,2.18481698518e-05,2.18481698518e-05,5,[null],18890,18890,410,19,57,0.95,0.95,20
10,Refined language death model for two languages,1,surrogate,1,pretune_off,3,,0.9996955585199204,2.34959055703e-05,2.3495905571e-05,4,[4],186829,186829,330,10,30,0.625,0.625,16
10,Refined language death model for two languages,1,surrogate,1,pretune_on,3,,0.9996955585198666,2.34959055745e-05,2.34959055745e-05,4,[4],127480,127480,330,11,33,0.6875,0.6875,16
10,Refined language death model for two languages,1,surrogate,2,pretune_off,3,,0.9933051887652216,5.42593097044e-05,5.42593097044e-05,5,[null],63698,63698,410,19,54,0.95,0.95,20
10,Refined language death model for two languages,1,surrogate,2,pretune_on,3,,0.9933051887652216,5.42593097044e-05,5.42593097044e-05,5,[null],24450,24450,410,19,57,0.95,0.95,20
11,Naive critical slowing down (statistical mechanics),1,exact,1,pretune_off,3,1.0,,4.65201955791e-15,4.66637630141e-15,4,[4],11444,11444,270,0,0,0,0,13
11,Naive critical slowing down (statistical mechanics),1,exact,1,pretune_on,3,1.0,,4.6741159058e-15,4.6741159058e-15,4,[4],24010,24010,270,0,0,0,0,13
11,Naive critical slowing down (statistical mechanics),1,exact,2,pretune_off,3,0.0,,0.000572744454029,0.000572744454029,4,[4],74032,74032,330,8,22,0.5,0.6,16
11,Naive critical slowing down (statistical mechanics),1,exact,2,pretune_on,3,0.0,,0.000572744454029,0.000572744454029,4,[4],27280,27280,330,11,33,0.6875,0.6875,16
12,Photons in a laser (simple),1,exact,1,pretune_off,3,1.0,,4.73564392749e-11,3.03440039008e-10,2,[2],112177,112177,110,0,0,0,0,5
12,Photons in a laser (simple),1,exact,1,pretune_on,3,1.0,,4.45268049889e-10,4.45268049889e-10,2,[2],9470,9470,110,0,0,0,0,5
12,Photons in a laser (simple),1,exact,2,pretune_off,3,1.0,,1.02219506413e-12,7.33265014715e-12,2,[2],179298,179298,110,0,0,0,0,5
12,Photons in a laser (simple),1,exact,2,pretune_on,3,1.0,,1.17851547736e-11,1.17851547736e-11,2,[2],9930,9930,110,0,0,0,0,5
13,Overdamped bead on a rotating hoop,1,surrogate,1,pretune_off,3,,0.9994252398044784,0.000216646928433,0.000216647367468,5,[5],1442336,1442336,410,5,15,0.25,0.29,20
13,Overdamped bead on a rotating hoop,1,surrogate,1,pretune_on,3,,0.9999008598054828,3.73693564616e-05,3.73693564616e-05,5,[5],1715330,1715330,410,3,9,0.15,0.15,20
13,Overdamped bead on a rotating hoop,1,surrogate,2,pretune_off,3,,0.9887239438708058,0.000508335436782,0.000508335436782,5,[5],106947,106947,410,10,33,0.5,0.66,20
13,Overdamped bead on a rotating hoop,1,surrogate,2,pretune_on,3,,0.9887239438707832,0.000508335436783,0.000508335436783,5,[5],734880,734880,410,15,45,0.75,0.75,20
14,Budworm outbreak model with predation,1,surrogate,1,pretune_off,3,,0.99999241976846,0.00586012031074,0.00586012031078,2,[2],144068,144068,170,3,7,0.375,0.375,8
14,Budworm outbreak model with predation,1,surrogate,1,pretune_on,3,,0.9999924197684252,0.00586012033751,0.00586012033751,2,[2],65370,65370,170,3,9,0.375,0.375,8
14,Budworm outbreak model with predation,1,surrogate,2,pretune_off,3,,0.9999990841865104,0.00025203414413,0.000252034277157,4,[4],939502,939502,330,8,24,0.5,0.55,16
14,Budworm outbreak model with predation,1,surrogate,2,pretune_on,3,,0.9999990839302884,0.000252104657037,0.000252104657037,4,[4],1665930,1665930,330,11,33,0.6875,0.6875,16
15,Budworm outbreak with predation (dimensionless),1,surrogate,1,pretune_off,3,,0.9999928252031892,0.00132116098009,0.00132133743808,4,[4],1107129,1107129,330,6,23,0.375,0.625,16
15,Budworm outbreak with predation (dimensionless),1,surrogate,1,pretune_on,3,,0.9999998800831412,2.20813883472e-05,2.20813883472e-05,4,[4],1906530,1906530,330,3,9,0.1875,0.1875,16
15,Budworm outbreak with predation (dimensionless),1,surrogate,2,pretune_off,3,,0.997893955216364,0.334053665245,0.334053665245,1,[1],61425,61425,90,2,5,0.5,0.7,4
15,Budworm outbreak with predation (dimensionless),1,surrogate,2,pretune_on,3,,0.9978939552163614,0.334053665245,0.334053665245,1,[1],44640,44640,90,3,9,0.75,0.75,4
16,Landau equation (typical time scale tau = 1),1,surrogate,1,pretune_off,3,,0.999926152064394,0.000353810783574,0.00035381078585,5,[5],1160082,1160082,410,3,9,0.15,0.15,20
16,Landau equation (typical time scale tau = 1),1,surrogate,1,pretune_on,3,,0.9999261520581244,0.000353810813613,0.000353810813613,5,[5],1392192,1392192,410,3,9,0.15,0.15,20
16,Landau equation (typical time scale tau = 1),1,surrogate,2,pretune_off,3,,0.999980385277418,6.50422722397e-05,6.50422767107e-05,5,[5],985013,985013,410,3,8,0.15,0.15,20
16,Landau equation (typical time scale tau = 1),1,surrogate,2,pretune_on,3,,0.999980385274897,6.50422805992e-05,6.50422805992e-05,5,[5],1643012,1643012,410,3,9,0.15,0.15,20
17,Logistic equation with harvesting/fishing,1,surrogate,1,pretune_off,3,,0.9999980700468636,0.00108926901378,0.00201169529192,5,[null],1415137,1415137,450,7,21,0.318181818182,0.330303030303,22
17,Logistic equation with harvesting/fishing,1,surrogate,1,pretune_on,3,,0.9999977349370168,0.00127840561279,0.00127840561279,5,[null],3177416,3177416,410,7,21,0.35,0.35,20
17,Logistic equation with harvesting/fishing,1,surrogate,2,pretune_off,3,,0.9999983834439464,0.000570722175382,0.000570858404468,4,[4],1001747,1001747,330,7,21,0.4375,0.5375,16
17,Logistic equation with harvesting/fishing,1,surrogate,2,pretune_on,3,,0.999998382124471,0.000571188013771,0.000571188013771,4,[4],1899280,1899280,330,11,33,0.6875,0.6875,16
18,Improved logistic equation with harvesting/fishing,1,surrogate,1,pretune_off,3,,0.9999999468794368,2.7529351893e-05,2.75436571864e-05,4,[4],1310865,1310865,330,10,26,0.625,0.625,16
18,Improved logistic equation with harvesting/fishing,1,surrogate,1,pretune_on,3,,0.9999999465125902,2.7719467633e-05,2.7719467633e-05,4,[4],1703730,1703730,330,11,33,0.6875,0.6875,16
18,Improved logistic equation with harvesting/fishing,1,surrogate,2,pretune_off,3,,0.9999999823008476,4.42126903285e-06,4.46145065015e-06,4,[4],1597757,1597757,330,8,24,0.5,0.55,16
18,Improved logistic equation with harvesting/fishing,1,surrogate,2,pretune_on,3,,0.999999980809746,4.79374793726e-06,4.79374793726e-06,4,[4],4842210,4842210,330,11,33,0.6875,0.6875,16
19,Improved logistic equation with harvesting/fishing (dimensionless),1,surrogate,1,pretune_off,3,,0.9999929254364618,4.93812925772e-07,4.93812925774e-07,5,[5],91353,91353,410,12,32,0.6,0.6,20
19,Improved logistic equation with harvesting/fishing (dimensionless),1,surrogate,1,pretune_on,3,,0.9999929254364572,4.938129261e-07,4.938129261e-07,5,[5],32190,32190,410,15,45,0.75,0.75,20
19,Improved logistic equation with harvesting/fishing (dimensionless),1,surrogate,2,pretune_off,3,,0.9999884086017596,1.37862520773e-06,1.37862520774e-06,5,[5],79704,79704,410,14,36,0.7,0.7,20
19,Improved logistic equation with harvesting/fishing (dimensionless),1,surrogate,2,pretune_on,3,,0.9999884086017586,1.37862520785e-06,1.37862520785e-06,5,[5],29710,29710,410,15,45,0.75,0.75,20
20,Autocatalytic gene switching (dimensionless),1,surrogate,1,pretune_off,3,,0.9999916215744898,5.93509265759e-08,5.93509273337e-08,5,[5],375177,375177,410,3,9,0.15,0.15,20
20,Autocatalytic gene switching (dimensionless),1,surrogate,1,pretune_on,3,,0.9999916215688092,5.93509668169e-08,5.93509668169e-08,5,[5],57290,57290,410,3,9,0.15,0.15,20
20,Autocatalytic gene switching (dimensionless),1,surrogate,2,pretune_off,3,,0.9775541270184792,5.63022690875e-05,5.63022690875e-05,5,[5],44500,44500,410,19,57,0.95,0.95,20
20,Autocatalytic gene switching (dimensionless),1,surrogate,2,pretune_on,3,,0.9775541270184788,5.63022690875e-05,5.63022690875e-05,5,[5],27744,27744,410,19,57,0.95,0.95,20
21,Dimensionally reduced SIR infection model for dead people (dimensionless),1,surrogate,1,pretune_off,3,,0.9999937626235104,1.45421088629e-05,1.45421098249e-05,5,[5],827368,827368,450,3,8,0.136363636364,0.136363636364,22
21,Dimensionally reduced SIR infection model for dead people (dimensionless),1,surrogate,1,pretune_on,3,,0.999993762623877,1.4542108008e-05,1.4542108008e-05,5,[5],451546,451546,450,3,9,0.136363636364,0.136363636364,22
21,Dimensionally reduced SIR infection model for dead people (dimensionless),1,surrogate,2,pretune_off,3,,0.9995753816039172,0.000703138632161,0.000703138636031,5,[5],1205983,1205983,410,6,17,0.3,0.3,20
21,Dimensionally reduced SIR infection model for dead people (dimensionless),1,surrogate,2,pretune_on,3,,0.9995753814242846,0.00070313892962,0.00070313892962,5,[5],2012842,2012842,410,7,21,0.35,0.35,20
22,"Hysteretic activation of a protein expression (positive feedback, basal promoter expression)",1,surrogate,1,pretune_off,3,,0.9941285400398746,0.000665309363707,0.000665309363707,5,[5],273529,273529,410,13,39,0.65,0.69,20
22,"Hysteretic activation of a protein expression (positive feedback, basal promoter expression)",1,surrogate,1,pretune_on,3,,0.9941285400398702,0.000665309363707,0.000665309363707,5,[5],354660,354660,410,15,45,0.75,0.75,20
22,"Hysteretic activation of a protein expression (positive feedback, basal promoter expression)",1,surrogate,2,pretune_off,3,,0.9991017801153744,0.000948320144485,0.000948320144485,5,[5],202617,202617,410,6,17,0.3,0.3,20
22,"Hysteretic activation of a protein expression (positive feedback, basal promoter expression)",1,surrogate,2,pretune_on,3,,0.9991017801153164,0.000948320144546,0.000948320144546,5,[5],735502,735502,410,7,21,0.35,0.35,20
23,Overdamped pendulum with constant driving torque/fireflies/Josephson junction (dimensionless),1,surrogate,1,pretune_off,3,,0.9994496468756444,0.000376915649101,0.000376915649103,5,[5],160937,160937,430,3,6,0.142857142857,0.142857142857,21
23,Overdamped pendulum with constant driving torque/fireflies/Josephson junction (dimensionless),1,surrogate,1,pretune_on,3,,0.9994496468756406,0.000376915649103,0.000376915649103,5,[5],424980,424980,410,3,9,0.15,0.15,20
23,Overdamped pendulum with constant driving torque/fireflies/Josephson junction (dimensionless),1,surrogate,2,pretune_off,3,,0.9967382747837376,0.000367951624937,0.000367951624937,5,[5],174716,174716,410,5,16,0.25,0.29,20
23,Overdamped pendulum with constant driving torque/fireflies/Josephson junction (dimensionless),1,surrogate,2,pretune_on,3,,0.9967382747829177,0.00036795162503,0.00036795162503,5,[5],324124,324124,410,7,21,0.35,0.35,20
24,Harmonic oscillator without damping,2,exact,1,pretune_off,3,1.0,,1.72246973151e-14,1.94401603812e-14,1,"[null,null]",52956,52956,30,0,0,0,0,1
24,Harmonic oscillator without damping,2,exact,1,pretune_on,3,1.0,,1.66344535242e-14,1.66344535242e-14,1,"[null,null]",3686,3686,30,0,0,0,0,1
24,Harmonic oscillator without damping,2,exact,2,pretune_off,3,1.0,,5.91942439729e-15,6.05515312478e-15,1,"[null,null]",11015,11015,30,0,0,0,0,1
24,Harmonic oscillator without damping,2,exact,2,pretune_on,3,1.0,,6.50030748258e-15,6.50030748258e-15,1,"[null,null]",3521,3521,30,0,0,0,0,1
25,Harmonic oscillator with damping,2,exact,1,pretune_off,3,1.0,,7.46984633726e-15,7.78147824118e-15,1,"[null,null]",215905,215905,30,0,0,0,0,1
25,Harmonic oscillator with damping,2,exact,1,pretune_on,3,1.0,,7.43566549613e-15,7.43566549613e-15,1,"[null,null]",7353,7353,30,0,0,0,0,1
25,Harmonic oscillator with damping,2,exact,2,pretune_off,3,1.0,,9.47195058078e-15,9.6323873819e-15,1,"[null,null]",9790,9790,30,0,0,0,0,1
25,Harmonic oscillator with damping,2,exact,2,pretune_on,3,1.0,,9.67043875702e-15,9.67043875702e-15,1,"[null,null]",6110,6110,30,0,0,0,0,1
26,Lotka-Volterra competition model (Strogatz version with sheeps and rabbits),2,exact,1,pretune_off,3,0.0,,0.000255825313121,0.000309604389702,3,"[3,3]",844994,844994,330,3,10,0.1875,0.2375,16
26,Lotka-Volterra competition model (Strogatz version with sheeps and rabbits),2,exact,1,pretune_on,3,0.0,,0.000265282654023,0.000265282654023,3,"[3,3]",1295098,1295098,290,3,9,0.214285714286,0.214285714286,14
26,Lotka-Volterra competition model (Strogatz version with sheeps and rabbits),2,exact,2,pretune_off,3,0.0,,0.000508922167801,0.000536489328887,3,"[3,3]",474812,474812,290,4,13,0.285714285714,0.430476190476,14
26,Lotka-Volterra competition model (Strogatz version with sheeps and rabbits),2,exact,2,pretune_on,3,0.0,,0.000508922167833,0.000508922167833,3,"[3,3]",505259,505259,290,7,21,0.5,0.5,14
27,Lotka-Volterra simple (as on Wikipedia),2,exact,1,pretune_off,3,0.0,,0.661133823566,1.13923038339,3,"[3,3]",1252895,1252895,430,3,9,0.142857142857,0.188571428571,21
27,Lotka-Volterra simple (as on Wikipedia),2,exact,1,pretune_on,3,0.6666666666666666,,6.54415212603e-07,9.18269859662e-06,3,"[3,3]",990234,990234,290,3,9,0.214285714286,0.214285714286,14
27,Lotka-Volterra simple (as on Wikipedia),2,exact,2,pretune_off,3,0.6666666666666666,,3.73104201438e-08,0.00489104804873,3,"[3,3]",2794949,2794949,350,3,7,0.176470588235,0.195294117647,17
27,Lotka-Volterra simple (as on Wikipedia),2,exact,2,pretune_on,3,1.0,,1.89223895855e-08,1.89223895855e-08,3,"[3,3]",3686385,3686385,350,3,9,0.176470588235,0.176470588235,17
28,Pendulum without friction,2,exact,1,pretune_off,3,0.0,,2.0548538886e-06,2.0671675233e-06,5,"[null,5]",1000554,1000554,410,7,20,0.318181818182,0.343636363636,20
28,Pendulum without friction,2,exact,1,pretune_on,3,0.0,,2.13203406785e-06,2.13203406785e-06,5,"[null,5]",691803,691803,410,7,21,0.35,0.35,20
28,Pendulum without friction,2,exact,2,pretune_off,3,0.0,,5.72401427929e-05,5.72401427932e-05,5,"[null,5]",2155427,2155427,410,19,57,0.95,0.95,20
28,Pendulum without friction,2,exact,2,pretune_on,3,0.0,,5.72401427932e-05,5.72401427932e-05,5,"[null,5]",131720,131720,410,19,57,0.95,0.95,20
29,Dipole fixed point,2,exact,1,pretune_off,3,1.0,,4.4028985036e-14,4.63096366101e-14,3,"[3,2]",761580,761580,330,0,0,0,0,16
29,Dipole fixed point,2,exact,1,pretune_on,3,0.0,,0.000643044457045,0.000643044457045,3,"[3,2]",109764,109764,270,3,9,0.230769230769,0.230769230769,13
29,Dipole fixed point,2,exact,2,pretune_off,3,0.0,,0.000777255862125,0.000777255862125,3,"[3,2]",608554,608554,250,7,17,0.538461538462,0.574358974359,12
29,Dipole fixed point,2,exact,2,pretune_on,3,0.0,,0.000801776043487,0.000801776043487,3,"[3,2]",134988,134988,270,7,21,0.538461538462,0.538461538462,13
30,RNA molecules catalyzing each others replication,2,surrogate,1,pretune_off,3,,0.9836863057724344,0.000188519538557,0.000188519538557,5,"[null,null]",672441,672441,410,19,57,0.95,0.95,20
30,RNA molecules catalyzing each others replication,2,surrogate,1,pretune_on,3,,0.9836863057077015,0.000188519538557,0.000188519538557,5,"[null,null]",611227,611227,410,19,57,0.95,0.95,20
30,RNA molecules catalyzing each others replication,2,surrogate,2,pretune_off,3,,0.9923521907222514,0.000117595321338,0.000117595321338,5,"[null,null]",690938,690938,410,19,57,0.95,0.95,20
30,RNA molecules catalyzing each others replication,2,surrogate,2,pretune_on,3,,0.9923521905747872,0.000117595321338,0.000117595321338,5,"[null,null]",682749,682749,410,19,57,0.95,0.95,20
31,SIR infection model only for healthy and sick,2,exact,1,pretune_off,3,0.0,,0.000132211024293,0.000133875914745,3,"[3,3]",619746,619746,330,7,15,0.411764705882,0.432352941176,16
31,SIR infection model only for healthy and sick,2,exact,1,pretune_on,3,0.0,,0.000134292137358,0.000134292137358,3,"[3,3]",1022782,1022782,290,7,21,0.5,0.5,14
31,SIR infection model only for healthy and sick,2,exact,2,pretune_off,3,1.0,,1.99636656848e-11,1.99859278813e-11,3,"[null,null]",329767,329767,230,0,0,0,0,11
31,SIR infection model only for healthy and sick,2,exact,2,pretune_on,3,0.0,,2.75360632179e-08,2.75360632179e-08,5,"[null,null]",4866642,4866642,450,11,33,0.5,0.5,22
32,Damped double well oscillator,2,exact,1,pretune_off,3,1.0,,1.38942698003e-11,1.54814208438e-10,4,"[null,4]",2099883,2099883,470,0,0,0,0,23
32,Damped double well oscillator,2,exact,1,pretune_on,3,1.0,,1.9570919599e-12,1.9570919599e-12,4,"[null,4]",1830722,1830722,350,0,0,0,0,17
32,Damped double well oscillator,2,exact,2,pretune_off,3,0.3333333333333333,,1.06498149026,5.40991387392,5,"[null,4]",1345446,1345446,510,3,7,0.12,0.138285714286,25
32,Damped double well oscillator,2,exact,2,pretune_on,3,0.0,,39.1987587599,39.1987587599,5,"[null,4]",632931,632931,410,19,57,0.95,0.95,20
33,Glider (dimensionless),2,surrogate,1,pretune_off,3,,0.9994412811069692,0.00206116738695,0.00213560661442,5,"[5,null]",2720349,2720349,610,1,4,0.0333333333333,0.0955555555556,30
33,Glider (dimensionless),2,surrogate,1,pretune_on,3,,0.998640491336494,0.00792700545387,0.0601332757496,5,"[5,null]",5988346,5988346,510,3,9,0.12,0.128347826087,25
33,Glider (dimensionless),2,surrogate,2,pretune_off,3,,0.986117315064232,0.0523970534739,0.0541734369293,5,"[5,null]",1804049,1804049,570,3,14,0.107142857143,0.35989010989,28
33,Glider (dimensionless),2,surrogate,2,pretune_on,3,,0.9999709671348276,0.00103202509322,0.00113295077289,5,"[5,null]",4321644,4321644,510,3,8,0.115384615385,0.119076923077,25
34,Frictionless bead on a rotating hoop (dimensionless),2,surrogate,1,pretune_off,3,,0.999652514835637,0.000417637267605,0.00041773667505,5,"[null,5]",868679,868679,410,4,14,0.190476190476,0.318095238095,20
34,Frictionless bead on a rotating hoop (dimensionless),2,surrogate,1,pretune_on,3,,0.9996434709293822,0.000432897605246,0.000432897605246,5,"[null,5]",564293,564293,410,7,21,0.35,0.35,20
34,Frictionless bead on a rotating hoop (dimensionless),2,surrogate,2,pretune_off,3,,0.9999499919285412,1.39819703723e-05,1.44443061921e-05,5,"[null,5]",1269262,1269262,410,7,20,0.35,0.35,20
34,Frictionless bead on a rotating hoop (dimensionless),2,surrogate,2,pretune_on,3,,0.9999499919257951,1.39819703745e-05,1.39819703745e-05,5,"[null,5]",212358,212358,410,7,21,0.35,0.35,20
35,Rotational dynamics of an object in a shear flow,2,surrogate,1,pretune_off,3,,0.9683245876053804,0.0404021781967,0.089922011815,5,"[5,5]",4919970,4919970,610,2,7,0.0666666666667,0.0933333333333,30
35,Rotational dynamics of an object in a shear flow,2,surrogate,1,pretune_on,3,,0.5695831665716939,0.527487195116,0.527487195116,5,"[5,5]",3282388,3282388,490,7,21,0.291666666667,0.291666666667,24
35,Rotational dynamics of an object in a shear flow,2,surrogate,2,pretune_off,3,,0.9961746478373534,0.00183788552416,0.00192382358547,5,"[5,5]",1798021,1798021,490,5,16,0.217391304348,0.29947826087,24
35,Rotational dynamics of an object in a shear flow,2,surrogate,2,pretune_on,3,,0.9961746478776056,0.0018378855234,0.0018378855234,5,"[5,5]",1942691,1942691,430,7,21,0.333333333333,0.333333333333,21
36,"Pendulum with non-linear damping, no driving (dimensionless)",2,surrogate,1,pretune_off,3,,0.9997934543402084,1.20704361349e-05,1.20704361349e-05,5,"[null,5]",535228,535228,410,17,52,0.85,0.89,20
36,"Pendulum with non-linear damping, no driving (dimensionless)",2,surrogate,1,pretune_on,3,,0.999793454309824,1.20704361349e-05,1.20704361349e-05,5,"[null,5]",73130,73130,410,19,57,0.95,0.95,20
36,"Pendulum with non-linear damping, no driving (dimensionless)",2,surrogate,2,pretune_off,3,,0.9990767808277616,8.4411348365e-05,8.4411348365e-05,5,"[null,4]",713873,713873,410,17,51,0.85,0.89,20
36,"Pendulum with non-linear damping, no driving (dimensionless)",2,surrogate,2,pretune_on,3,,0.9990767806364076,8.44113483658e-05,8.44113483658e-05,5,"[null,4]",82131,82131,410,19,57,0.95,0.95,20
37,Van der Pol oscillator (standard form),2,surrogate,1,pretune_off,3,,0.99122223992825,0.0167891292592,0.0194574976248,5,"[null,null]",2961114,2961114,570,7,20,0.25,0.316666666667,28
37,Van der Pol oscillator (standard form),2,surrogate,1,pretune_on,3,,0.9873210921849936,0.0234216796937,0.0234216796937,5,"[null,null]",2683316,2683316,510,3,9,0.12,0.124,25
37,Van der Pol oscillator (standard form),2,surrogate,2,pretune_off,3,,0.9844696513284924,0.0385063096273,0.0560384229462,5,"[null,null]",2470835,2470835,570,3,6,0.107142857143,0.113736263736,28
37,Van der Pol oscillator (standard form),2,surrogate,2,pretune_on,3,,0.9778590180975374,0.0548050481316,0.0548050481316,5,"[null,null]",2154773,2154773,490,7,21,0.291666666667,0.291666666667,24
38,Van der Pol oscillator (simplified form from Strogatz),2,exact,1,pretune_off,3,1.0,,6.82526620696e-12,6.86520766298e-12,4,"[4,null]",4600277,4600277,490,0,0,0,0,24
38,Van der Pol oscillator (simplified form from Strogatz),2,exact,1,pretune_on,3,1.0,,6.97788391413e-12,6.97788391413e-12,4,"[4,null]",3034410,3034410,350,0,0,0,0,17
