campaign,source_path,source_format,record_index,metric_scope,system_id,dimension,arm,initial_condition_set,r2_arithmetic_mean,r2_variance_weighted,r2_arithmetic_mean_gt_0_9,r2_variance_weighted_gt_0_9,r2_difference_variance_weighted_minus_arithmetic,threshold_flip,threshold_flip_direction,arithmetic_control_abs_error,one_dim_abs_delta,aggregation_source
paper1_phaseB_v1,C:\Users\joedicke\Documents\reps\EvoODE\experiments\paper1_phaseB_v1\run_registry.csv,run_registry,30,record,6,1,pretune_on,1,0.9999999999999827,0.9999999999999827,True,True,0.0,False,none,1.1102230246251565e-16,0.0,reconstructed_from_r2_by_dim
paper1_phaseB_v1,C:\Users\joedicke\Documents\reps\EvoODE\experiments\paper1_phaseB_v1\run_registry.csv,run_registry,31,record,6,1,pretune_on,1,0.9999999999999827,0.9999999999999827,True,True,0.0,False,none,1.1102230246251565e-16,0.0,reconstructed_from_r2_by_dim
paper1_phaseB_v1,C:\Users\joedicke\Documents\reps\EvoODE\experiments\paper1_phaseB_v1\run_registry.csv,run_registry,32,record,6,1,pretune_on,1,0.9999999999999827,0.9999999999999827,True,True,0.0,False,none,1.1102230246251565e-16,0.0,reconstructed_from_r2_by_dim
paper1_phaseB_v1,C:\Users\joedicke\Documents\reps\EvoODE\experiments\paper1_phaseB_v1\run_registry.csv,run_registry,33,record,6,1,pretune_on,2,0.9999999999982943,0.9999999999982943,True,True,0.0,False,none,1.1102230246251565e-16,0.0,reconstructed_from_r2_by_dim
paper1_phaseB_v1,C:\Users\joedicke\Documents\reps\EvoODE\experiments\paper1_phaseB_v1\run_registry.csv,run_registry,34,record,6,1,pretune_on,2,0.9999999999982943,0.9999999999982943,True,True,0.0,False,none,1.1102230246251565e-16,0.0,reconstructed_from_r2_by_dim
paper1_phaseB_v1,C:\Users\joedicke\Documents\reps\EvoODE\experiments\paper1_phaseB_v1\run_registry.csv,run_registry,35,record,6,1,pretune_on,2,0.9999999999982943,0.9999999999982943,True,True,0.0,False,none,1.1102230246251565e-16,0.0,reconstructed_from_r2_by_dim
paper1_phaseB_v1,C:\Users\joedicke\Documents\reps\EvoODE\experiments\paper1_phaseB_v1\run_registry.csv,run_registry,36,record,7,1,pretune_on,1,0.996017049341627,0.996017049341627,True,True,0.0,False,none,0.0,0.0,reconstructed_from_r2_by_dim
paper1_phaseB_v1,C:\Users\joedicke\Documents\reps\EvoODE\experiments\paper1_phaseB_v1\run_registry.csv,run_registry,37,record,7,1,pretune_on,1,0.996017049341627,0.996017049341627,True,True,0.0,False,none,0.0,0.0,reconstructed_from_r2_by_dim
paper1_phaseB_v1,C:\Users\joedicke\Documents\reps\EvoODE\experiments\paper1_phaseB_v1\run_registry.csv,run_registry,38,record,7,1,pretune_on,1,0.996017049341627,0.996017049341627,True,True,0.0,False,none,0.0,0.0,reconstructed_from_r2_by_dim
paper1_phaseB_v1,C:\Users\joedicke\Documents\reps\EvoODE\experiments\paper1_phaseB_v1\run_registry.csv,run_registry,39,record,7,1,pretune_on,2,0.9999993566555182,0.9999993566555183,True,True,1.1102230246251565e-16,False,none,0.0,1.1102230246251565e-16,reconstructed_from_r2_by_dim
paper1_phaseB_v1,C:\Users\joedicke\Documents\reps\EvoODE\experiments\paper1_phaseB_v1\run_registry.csv,run_registry,40,record,7,1,pretune_on,2,0.9999993566555182,0.9999993566555183,True,True,1.1102230246251565e-16,False,none,0.0,1.1102230246251565e-16,reconstructed_from_r2_by_dim
paper1_phaseB_v1,C:\Users\joedicke\Documents\reps\EvoODE\experiments\paper1_phaseB_v1\run_registry.csv,run_registry,41,record,7,1,pretune_on,2,0.9999993566555182,0.9999993566555183,True,True,1.1102230246251565e-16,False,none,0.0,1.1102230246251565e-16,reconstructed_from_r2_by_dim
paper1_phaseB_v1,C:\Users\joedicke\Documents\reps\EvoODE\experiments\paper1_phaseB_v1\run_registry.csv,run_registry,42,record,8,1,pretune_on,1,-0.9646357603167324,-0.9646357603167324,False,False,0.0,False,none,0.0,0.0,reconstructed_from_r2_by_dim
paper1_phaseB_v1,C:\Users\joedicke\Documents\reps\EvoODE\experiments\paper1_phaseB_v1\run_registry.csv,run_registry,43,record,8,1,pretune_on,1,-0.9646357603167324,-0.9646357603167324,False,False,0.0,False,none,0.0,0.0,reconstructed_from_r2_by_dim
paper1_phaseB_v1,C:\Users\joedicke\Documents\reps\EvoODE\experiments\paper1_phaseB_v1\run_registry.csv,run_registry,44,record,8,1,pretune_on,1,-0.9646357603167324,-0.9646357603167324,False,False,0.0,False,none,0.0,0.0,reconstructed_from_r2_by_dim
paper1_phaseB_v1,C:\Users\joedicke\Documents\reps\EvoODE\experiments\paper1_phaseB_v1\run_registry.csv,run_registry,45,record,8,1,pretune_on,2,0.993263221203677,0.9932632212036772,True,True,1.1102230246251565e-16,False,none,0.0,1.1102230246251565e-16,reconstructed_from_r2_by_dim
paper1_phaseB_v1,C:\Users\joedicke\Documents\reps\EvoODE\experiments\paper1_phaseB_v1\run_registry.csv,run_registry,46,record,8,1,pretune_on,2,0.993263221203677,0.9932632212036772,True,True,1.1102230246251565e-16,False,none,0.0,1.1102230246251565e-16,reconstructed_from_r2_by_dim
paper1_phaseB_v1,C:\Users\joedicke\Documents\reps\EvoODE\experiments\paper1_phaseB_v1\run_registry.csv,run_registry,47,record,8,1,pretune_on,2,0.993263221203677,0.9932632212036772,True,True,1.1102230246251565e-16,False,none,0.0,1.1102230246251565e-16,reconstructed_from_r2_by_dim
paper1_phaseB_v1,C:\Users\joedicke\Documents\reps\EvoODE\experiments\paper1_phaseB_v1\run_registry.csv,run_registry,48,record,9,1,pretune_on,1,0.978515804443052,0.978515804443052,True,True,0.0,False,none,0.0,0.0,reconstructed_from_r2_by_dim
paper1_phaseB_v1,C:\Users\joedicke\Documents\reps\EvoODE\experiments\paper1_phaseB_v1\run_registry.csv,run_registry,49,record,9,1,pretune_on,1,0.978515804443052,0.978515804443052,True,True,0.0,False,none,0.0,0.0,reconstructed_from_r2_by_dim
paper1_phaseB_v1,C:\Users\joedicke\Documents\reps\EvoODE\experiments\paper1_phaseB_v1\run_registry.csv,run_registry,50,record,9,1,pretune_on,1,0.978515804443052,0.978515804443052,True,True,0.0,False,none,0.0,0.0,reconstructed_from_r2_by_dim
paper1_phaseB_v1,C:\Users\joedicke\Documents\reps\EvoODE\experiments\paper1_phaseB_v1\run_registry.csv,run_registry,51,record,9,1,pretune_on,2,-0.3972495547347674,-0.3972495547347674,False,False,0.0,False,none,0.0,0.0,reconstructed_from_r2_by_dim
paper1_phaseB_v1,C:\Users\joedicke\Documents\reps\EvoODE\experiments\paper1_phaseB_v1\run_registry.csv,run_registry,52,record,9,1,pretune_on,2,-0.3972495547347674,-0.3972495547347674,False,False,0.0,False,none,0.0,0.0,reconstructed_from_r2_by_dim
