signal,operating_point,selected_k,sigma_rel,noise_replicate,direction,regime,dimension,phasec_representability_threeway,aggregation_scope,n_cells,structure_denominator_exact_cells,structure_hit_raw_count,structure_hit_raw_rate,structure_hit_pruned_count,structure_hit_pruned_rate,diverged_or_nonfinite_count,r2_finite_nondiverged_count,r2_gt_0_9_count,r2_gt_0_9_rate_over_cells,r2_median_valid,r2_q000_finite_nondiverged,r2_q025_finite_nondiverged,r2_q075_finite_nondiverged,r2_q100_finite_nondiverged
fd,bic,1,0.01,3,IC2_to_IC1,reconstruction,2,surrogate:eq2_not_representable,dimension_by_phasec_representability_threeway,1,0,0,,0,,0,1,1,1.0,0.9993045497464368,0.9993045497464368,0.9993045497464368,0.9993045497464368,0.9993045497464368
fd,bic,1,0.01,4,IC1_to_IC2,generalization,2,exact,dimension_by_phasec_representability_threeway,2,2,2,1.0,2,1.0,0,2,2,1.0,0.990056352184334,0.9834698170889489,0.9867630846366414,0.9933496197320265,0.9966428872797191
fd,bic,1,0.01,4,IC1_to_IC2,reconstruction,2,exact,dimension_by_phasec_representability_threeway,2,2,2,1.0,2,1.0,0,2,2,1.0,0.9877388467399058,0.983165473770777,0.9854521602553413,0.9900255332244701,0.9923122197090344
fd,bic,1,0.01,4,IC2_to_IC1,generalization,1,exact,dimension_by_phasec_representability_threeway,1,1,1,1.0,1,1.0,0,1,1,1.0,0.9947683981676887,0.9947683981676887,0.9947683981676887,0.9947683981676887,0.9947683981676887
fd,bic,1,0.01,4,IC2_to_IC1,generalization,1,surrogate:eq1_not_representable,dimension_by_phasec_representability_threeway,1,0,0,,0,,0,1,0,0.0,-1.2049105856224696,-1.2049105856224696,-1.2049105856224696,-1.2049105856224696,-1.2049105856224696
fd,bic,1,0.01,4,IC2_to_IC1,generalization,2,exact,dimension_by_phasec_representability_threeway,2,2,1,0.5,1,0.5,0,2,2,1.0,0.9627083167498642,0.9317306568014289,0.9472194867756466,0.978197146724082,0.9936859766982997
fd,bic,1,0.01,4,IC2_to_IC1,generalization,2,surrogate:eq2_not_representable,dimension_by_phasec_representability_threeway,1,0,0,,0,,0,1,0,0.0,-1.1361493056975824,-1.1361493056975824,-1.1361493056975824,-1.1361493056975824,-1.1361493056975824
fd,bic,1,0.01,4,IC2_to_IC1,reconstruction,1,exact,dimension_by_phasec_representability_threeway,1,1,1,1.0,1,1.0,0,1,1,1.0,0.9994382855593353,0.9994382855593353,0.9994382855593353,0.9994382855593353,0.9994382855593353
fd,bic,1,0.01,4,IC2_to_IC1,reconstruction,1,surrogate:eq1_not_representable,dimension_by_phasec_representability_threeway,1,0,0,,0,,0,1,1,1.0,0.9982249675239963,0.9982249675239963,0.9982249675239963,0.9982249675239963,0.9982249675239963
fd,bic,1,0.01,4,IC2_to_IC1,reconstruction,2,exact,dimension_by_phasec_representability_threeway,2,2,1,0.5,1,0.5,0,2,2,1.0,0.9899341313515297,0.9824550950747165,0.9861946132131232,0.9936736494899364,0.9974131676283431
fd,bic,1,0.01,4,IC2_to_IC1,reconstruction,2,surrogate:eq2_not_representable,dimension_by_phasec_representability_threeway,1,0,0,,0,,0,1,1,1.0,0.998524323225646,0.998524323225646,0.998524323225646,0.998524323225646,0.998524323225646
fd,bic,1,0.01,5,IC1_to_IC2,generalization,2,exact,dimension_by_phasec_representability_threeway,2,2,2,1.0,2,1.0,0,2,2,1.0,0.9900869424779584,0.982808280900431,0.9864476116891947,0.993726273266722,0.9973656040554857
fd,bic,1,0.01,5,IC1_to_IC2,reconstruction,2,exact,dimension_by_phasec_representability_threeway,2,2,2,1.0,2,1.0,0,2,2,1.0,0.9877957482866082,0.9823713249006096,0.9850835365936089,0.9905079599796075,0.9932201716726068
fd,bic,1,0.01,5,IC2_to_IC1,generalization,1,exact,dimension_by_phasec_representability_threeway,1,1,1,1.0,1,1.0,0,1,1,1.0,0.9953949760143552,0.9953949760143552,0.9953949760143552,0.9953949760143552,0.9953949760143552
fd,bic,1,0.01,5,IC2_to_IC1,generalization,1,surrogate:eq1_not_representable,dimension_by_phasec_representability_threeway,1,0,0,,0,,0,1,0,0.0,-1.1690124811069476,-1.1690124811069476,-1.1690124811069476,-1.1690124811069476,-1.1690124811069476
