manifest_index,system_id,system_name,seed,initial_condition_set,variant,basis_name,representability,wp_n1_support_status,raw_support_match,pruned_support_match,support_equality_definition,raw_implies_pruned_violation,r2,r2_gt_0_9,loss,final_stage,eq_final_stages,total_parameter_fits,total_loss_evals,total_ode_solves,elapsed_s,elapsed_s_evidence_role,git_hash,config_fingerprint,stage_cap_behavior_fingerprint,incomplete_allowed,expected_manifest_records,observed_manifest_records,missing_manifest_indices,dim,classification_description,decision_layer
24,27,Lotka-Volterra simple (as on Wikipedia),123,2,wp_n1_old_basis,default_staged_polynomial_basis,exact,ok,False,True,normalized term-name set equality per equation index; equation order is preserved,False,0.9999999831587939,True,3.6823941309417824e-08,3,"[3,3]",310,2568874,2568874,4495.029845923,non_evidence,ec3b6bd,0290b75a28791195,ffb0266c7913352c,False,336,336,,2,Lotka-Volterra simple (as on Wikipedia),A_paired_both_exact
25,28,Pendulum without friction,7,1,wp_n1_old_basis,default_staged_polynomial_basis,exact,ok,False,False,normalized term-name set equality per equation index; equation order is preserved,False,0.9999979250258737,True,2.070245931975574e-06,5,"[5,5]",410,799425,799425,7320.030751109,non_evidence,ec3b6bd,0290b75a28791195,ffb0266c7913352c,False,336,336,,2,Pendulum without friction,A_paired_both_exact
26,28,Pendulum without friction,42,1,wp_n1_old_basis,default_staged_polynomial_basis,exact,ok,False,False,normalized term-name set equality per equation index; equation order is preserved,False,0.9999979340161,True,2.054853869700132e-06,5,"[5,5]",410,1000554,1000554,6311.851065403,non_evidence,ec3b6bd,0290b75a28791195,ffb0266c7913352c,False,336,336,,2,Pendulum without friction,A_paired_both_exact
27,28,Pendulum without friction,123,1,wp_n1_old_basis,default_staged_polynomial_basis,exact,ok,False,False,normalized term-name set equality per equation index; equation order is preserved,False,0.99999793401585,True,2.0548538886019033e-06,5,"[5,5]",450,1310306,1310306,18736.082194869,non_evidence,ec3b6bd,0290b75a28791195,ffb0266c7913352c,False,336,336,,2,Pendulum without friction,A_paired_both_exact
28,28,Pendulum without friction,7,2,wp_n1_old_basis,default_staged_polynomial_basis,exact,ok,False,False,normalized term-name set equality per equation index; equation order is preserved,False,0.9998311122292854,True,5.724014279325815e-05,5,"[5,5]",410,2155427,2155427,3835.523084142,non_evidence,ec3b6bd,0290b75a28791195,ffb0266c7913352c,False,336,336,,2,Pendulum without friction,A_paired_both_exact
29,28,Pendulum without friction,42,2,wp_n1_old_basis,default_staged_polynomial_basis,exact,ok,False,False,normalized term-name set equality per equation index; equation order is preserved,False,0.9998311122304819,True,5.7240142792864766e-05,5,"[5,5]",410,2278264,2278264,2581.096443237,non_evidence,ec3b6bd,0290b75a28791195,ffb0266c7913352c,False,336,336,,2,Pendulum without friction,A_paired_both_exact
30,28,Pendulum without friction,123,2,wp_n1_old_basis,default_staged_polynomial_basis,exact,ok,False,False,normalized term-name set equality per equation index; equation order is preserved,False,0.9998311122316099,True,5.7240142792319995e-05,5,"[5,5]",410,1955302,1955302,3180.773722446,non_evidence,ec3b6bd,0290b75a28791195,ffb0266c7913352c,False,336,336,,2,Pendulum without friction,A_paired_both_exact
31,29,Dipole fixed point,7,1,wp_n1_old_basis,default_staged_polynomial_basis,exact,ok,False,True,normalized term-name set equality per equation index; equation order is preserved,False,0.9999999999998808,True,4.084801540501099e-14,3,"[3,2]",230,724324,724324,865.251101301,non_evidence,ec3b6bd,0290b75a28791195,ffb0266c7913352c,False,336,336,,2,Dipole fixed point,A_paired_both_exact
32,29,Dipole fixed point,42,1,wp_n1_old_basis,default_staged_polynomial_basis,exact,ok,False,True,normalized term-name set equality per equation index; equation order is preserved,False,0.9999999999998666,True,4.687979950367196e-14,3,"[3,2]",330,761580,761580,1894.821506569,non_evidence,ec3b6bd,0290b75a28791195,ffb0266c7913352c,False,336,336,,2,Dipole fixed point,A_paired_both_exact
33,29,Dipole fixed point,123,1,wp_n1_old_basis,default_staged_polynomial_basis,exact,ok,False,True,normalized term-name set equality per equation index; equation order is preserved,False,0.9999999999998728,True,4.4028985035978194e-14,3,"[3,2]",390,1309739,1309739,4946.174442414,non_evidence,ec3b6bd,0290b75a28791195,ffb0266c7913352c,False,336,336,,2,Dipole fixed point,A_paired_both_exact
