signal,ranking_method,sigma_rel,noise_replicate,ic_strategy,dimension,n_equations,q010,q025,q050,q075,q090,le_0_count,le_0_rate,le_1_count,le_1_rate,le_2_count,le_2_rate,le_3_count,le_3_rate,le_5_count,le_5_rate,le_10_count,le_10_rate
fd,forward,0.01,4,ic1_ic2,4,4,6.300000000000001,15.75,21.0,21.25,21.7,1,0.25,1,0.25,1,0.25,1,0.25,1,0.25,1,0.25
fd,forward,0.01,4,ic2,1,11,0.0,1.0,3.0,4.0,4.0,2,0.18181818181818182,4,0.36363636363636365,5,0.45454545454545453,7,0.6363636363636364,11,1.0,11,1.0
fd,forward,0.01,4,ic2,2,20,0.0,0.0,0.0,4.0,7.200000000000003,11,0.55,13,0.65,13,0.65,14,0.7,16,0.8,20,1.0
fd,forward,0.01,4,ic2,3,24,0.0,0.0,0.0,8.75,16.0,16,0.6666666666666666,17,0.7083333333333334,17,0.7083333333333334,17,0.7083333333333334,17,0.7083333333333334,18,0.75
fd,forward,0.01,4,ic2,4,4,7.4,15.5,20.5,21.0,21.0,0,0.0,0,0.0,1,0.25,1,0.25,1,0.25,1,0.25
fd,forward,0.01,5,ic1,1,11,0.0,0.5,3.0,4.0,4.0,3,0.2727272727272727,5,0.45454545454545453,5,0.45454545454545453,7,0.6363636363636364,11,1.0,11,1.0
fd,forward,0.01,5,ic1,2,20,0.0,0.0,0.0,3.0,8.0,14,0.7,14,0.7,14,0.7,16,0.8,17,0.85,20,1.0
fd,forward,0.01,5,ic1,3,24,0.0,0.0,0.0,9.25,16.0,14,0.5833333333333334,15,0.625,15,0.625,17,0.7083333333333334,17,0.7083333333333334,18,0.75
fd,forward,0.01,5,ic1,4,4,0.0,0.0,9.5,20.25,22.5,2,0.5,2,0.5,2,0.5,2,0.5,2,0.5,2,0.5
fd,forward,0.01,5,ic1_ic2,1,11,0.0,0.5,3.0,4.0,4.0,3,0.2727272727272727,5,0.45454545454545453,5,0.45454545454545453,7,0.6363636363636364,11,1.0,11,1.0
fd,forward,0.01,5,ic1_ic2,2,20,0.0,0.0,0.0,2.5,6.200000000000003,13,0.65,14,0.7,15,0.75,15,0.75,17,0.85,20,1.0
fd,forward,0.01,5,ic1_ic2,3,24,0.0,0.0,0.0,1.5,16.0,17,0.7083333333333334,18,0.75,18,0.75,19,0.7916666666666666,19,0.7916666666666666,20,0.8333333333333334
fd,forward,0.01,5,ic1_ic2,4,4,2.1000000000000005,5.25,12.5,19.0,20.8,1,0.25,1,0.25,1,0.25,1,0.25,1,0.25,2,0.5
fd,forward,0.01,5,ic2,1,11,0.0,1.0,3.0,4.0,4.0,2,0.18181818181818182,4,0.36363636363636365,5,0.45454545454545453,7,0.6363636363636364,11,1.0,11,1.0
fd,forward,0.01,5,ic2,2,20,0.0,0.0,0.5,2.25,8.100000000000001,10,0.5,13,0.65,15,0.75,16,0.8,16,0.8,20,1.0
fd,forward,0.01,5,ic2,3,24,0.0,0.0,0.0,8.75,16.0,15,0.625,16,0.6666666666666666,17,0.7083333333333334,17,0.7083333333333334,17,0.7083333333333334,18,0.75
fd,forward,0.01,5,ic2,4,4,18.6,19.5,21.0,22.0,22.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
