run_id,experiment_id,phase,hypothesis,run_type,include_in_paper,system_id,system_name,system_dim,system_representability,system_expected_stage,variant,seed,status,inferred_status,success,failure_reason,started_at,finished_at,loss,objective,exact_support_match,final_stage,stage_overshoot,wasted_levels,total_loss_evals,total_invalid_evals,elapsed_s,partial,metrics_available,corrupted
3_evogrow_v1_seed123,paper1_phaseA_v1,A,H1_staged_growth_efficiency,exploratory,false,3,Logistic growth,1,exact,2,evogrow_v1,123,finished,finished,true,,2026-04-22T16:49:03,2026-04-22T16:49:08,3.236362682414739e-8,0.002000032363626824,true,1,0,0,9918,3330,4.710999965667725,false,true,false
3_evogrow_v1_seed7,paper1_phaseA_v1,A,H1_staged_growth_efficiency,exploratory,false,3,Logistic growth,1,exact,2,evogrow_v1,7,finished,finished,true,,2026-04-22T16:49:08,2026-04-22T16:49:12,3.236362682414739e-8,0.002000032363626824,true,1,0,0,10320,3255,4.365999937057495,false,true,false
3_evogrow_v1_seed99,paper1_phaseA_v1,A,H1_staged_growth_efficiency,exploratory,false,3,Logistic growth,1,exact,2,evogrow_v1,99,finished,finished,true,,2026-04-22T16:49:12,2026-04-22T16:49:17,3.236362682414739e-8,0.002000032363626824,true,1,0,0,10320,3255,5.000999927520752,false,true,false
3_evogrow_v1_seed17,paper1_phaseA_v1,A,H1_staged_growth_efficiency,exploratory,false,3,Logistic growth,1,exact,2,evogrow_v1,17,finished,finished,true,,2026-04-22T16:49:17,2026-04-22T16:49:22,3.236362682414739e-8,0.002000032363626824,true,1,0,0,9918,3330,4.068000078201294,false,true,false
3_evogrow_v2_1_seed42,paper1_phaseA_v1,A,H1_staged_growth_efficiency,exploratory,false,3,Logistic growth,1,exact,2,evogrow_v2_1,42,finished,finished,true,,2026-04-22T16:49:22,2026-04-22T16:58:54,3.236362682414739e-8,0.002000032363626824,true,5,3,3,2475110,4500,571.7019999027252,false,true,false
3_evogrow_v2_1_seed123,paper1_phaseA_v1,A,H1_staged_growth_efficiency,exploratory,false,3,Logistic growth,1,exact,2,evogrow_v2_1,123,finished,finished,true,,2026-04-22T16:58:54,2026-04-22T17:07:32,3.236362682414739e-8,0.002000032363626824,true,5,3,3,2464960,4500,517.829999923706,false,true,false
3_evogrow_v2_1_seed7,paper1_phaseA_v1,A,H1_staged_growth_efficiency,exploratory,false,3,Logistic growth,1,exact,2,evogrow_v2_1,7,finished,finished,true,,2026-04-22T17:07:32,2026-04-22T18:26:57,3.236362682414739e-8,0.002000032363626824,true,5,3,3,2464960,4500,4764.577000141144,false,true,false
3_evogrow_v2_1_seed99,paper1_phaseA_v1,A,H1_staged_growth_efficiency,exploratory,false,3,Logistic growth,1,exact,2,evogrow_v2_1,99,finished,finished,true,,2026-04-22T18:26:57,2026-04-22T18:49:47,3.236362682414739e-8,0.002000032363626824,true,5,3,3,2485260,4500,1370.111999988556,false,true,false
3_evogrow_v2_1_seed17,paper1_phaseA_v1,A,H1_staged_growth_efficiency,exploratory,false,3,Logistic growth,1,exact,2,evogrow_v2_1,17,finished,finished,true,,2026-04-22T18:49:47,2026-04-22T22:37:06,3.236362682414739e-8,0.002000032363626824,true,5,3,3,2434510,4500,13638.513999938965,false,true,false
3_evogrow_v2_2_stage_local_seed42,paper1_phaseA_v1,A,H1_staged_growth_efficiency,exploratory,false,3,Logistic growth,1,exact,2,evogrow_v2_2_stage_local,42,finished,finished,true,,2026-04-22T22:37:06,2026-04-22T23:10:32,3.236362682414739e-8,0.002000032363626824,true,5,3,12,9578480,9360,2005.8700001239777,false,true,false
